,Team Number,Offensive Power Rating
0,frc188,26.62
1,frc216,12.88
2,frc244,8.98
3,frc288,15.07
4,frc610,28.04
5,frc746,16.54
6,frc771,18.19
7,frc772,18.69
8,frc773,7.04
9,frc781,11.68
10,frc854,20.98
11,frc865,22.07
12,frc907,19.5
13,frc919,4.36
14,frc1075,20.69
15,frc1114,40.35
16,frc1241,34.15
17,frc1246,18.24
18,frc1285,25.77
19,frc1305,35.08
20,frc1310,27.52
21,frc1325,35.68
22,frc1334,14.46
23,frc1360,24.92
24,frc1374,19.34
25,frc2013,13.73
26,frc2056,49.83
27,frc2198,13.31
28,frc2200,31.96
29,frc2386,25.18
30,frc2405,7.53
31,frc2609,17.0
32,frc2634,22.95
33,frc2702,22.86
34,frc2706,21.7
35,frc2708,9.26
36,frc2771,14.95
37,frc2852,23.48
38,frc2935,17.68
39,frc2994,23.09
40,frc3161,11.69
41,frc3543,10.95
42,frc3571,5.37
43,frc3655,23.42
44,frc3683,32.22
45,frc3739,20.49
46,frc3756,13.37
47,frc4015,11.72
48,frc4039,26.61
49,frc4069,22.83
50,frc4152,25.11
51,frc4252,11.15
52,frc4308,13.42
53,frc4343,19.83
54,frc4476,26.03
55,frc4519,17.93
56,frc4525,18.36
57,frc4595,16.47
58,frc4617,12.34
59,frc4618,15.07
60,frc4678,27.36
61,frc4688,24.69
62,frc4704,13.0
63,frc4777,16.76
64,frc4783,15.4
65,frc4814,21.78
66,frc4902,18.6
67,frc4903,25.3
68,frc4907,23.8
69,frc4914,23.87
70,frc4917,24.39
71,frc4920,13.53
72,frc4932,20.87
73,frc4936,21.19
74,frc4938,10.44
75,frc4939,16.15
76,frc4940,21.29
77,frc4946,27.17
78,frc4951,15.28
79,frc4968,13.86
80,frc4976,25.48
81,frc4992,21.59
82,frc5024,28.19
83,frc5031,12.6
84,frc5032,10.73
85,frc5036,21.64
86,frc5039,16.51
87,frc5076,18.01
88,frc5288,16.39
89,frc5406,37.43
90,frc5408,23.97
91,frc5409,17.43
92,frc5426,9.49
93,frc5483,21.32
94,frc5596,15.47
95,frc5672,16.33
96,frc5689,16.37
97,frc5699,16.09
98,frc5719,20.37
99,frc5821,10.93
100,frc5834,23.4
101,frc5870,15.95
102,frc5885,24.57
103,frc5911,6.74
104,frc5912,14.59
105,frc5921,13.19
106,frc6009,11.2
107,frc6052,12.09
108,frc6070,17.12
109,frc6110,16.92
110,frc6130,13.26
111,frc6135,21.26
112,frc6140,21.42
113,frc6141,12.62
114,frc6162,7.81
115,frc6202,14.8
116,frc6323,16.1
117,frc6330,5.26
118,frc6331,16.31
119,frc6336,20.8
120,frc6339,8.13
121,frc6342,11.85
122,frc6378,23.4
123,frc6397,12.99
124,frc6461,22.11
125,frc6481,11.33
126,frc6513,10.7
127,frc6514,5.81
128,frc6537,11.77
129,frc6544,16.88
130,frc6632,17.77
131,frc6725,18.25
132,frc6854,11.84
133,frc6856,7.63
134,frc6859,16.02
135,frc6864,10.11
136,frc6865,13.47
137,frc6866,13.68
138,frc6867,21.85
139,frc6875,9.57
140,frc6878,22.18
141,frc6881,13.02
142,frc6917,18.34
143,frc6975,6.82
144,frc6977,9.18
145,frc6978,9.12
146,frc6987,14.53
147,frc6992,15.75
148,frc7013,6.76
149,frc7022,19.52
150,frc7052,15.42
151,frc7058,23.47
152,frc7136,18.24
153,frc7200,9.99
154,frc7267,14.86
155,frc7456,15.38
156,frc7475,6.84
157,frc7476,21.43
158,frc7480,16.66
159,frc7509,17.83
160,frc7520,15.68
161,frc7558,22.7
162,frc7564,10.2
163,frc7603,15.49
164,frc7614,8.2
165,frc7623,15.99
166,frc7659,15.23
167,frc7664,15.58
168,frc7690,11.36
169,frc7710,8.48
170,frc7712,13.56
171,frc7721,15.44
172,frc7722,18.24
173,frc7723,10.03
174,frc7735,13.77
175,frc7757,19.77
176,frc7800,10.73
177,frc7806,0.0
178,frc7902,6.48
